area,bedrooms,bathrooms,location,price
1011,4,4,Mumbai,10807916
2889,2,2,Hyderabad,11982579
4283,5,4,Vizag,16064294
2639,3,2,Vizag,10449909
1934,2,4,Vizag,8157506
3193,1,1,Hyderabad,12413132
2550,1,3,Vizag,8989730
1376,1,4,Vizag,5898731
2821,4,4,Hyderabad,14118676
4929,3,3,Mumbai,30378536
2914,1,2,Vizag,10534405
1526,2,3,Bengaluru,8502634
1770,1,1,Hyderabad,7379870
4520,1,1,Mumbai,26017789
2318,5,3,Vizag,10594067
4103,5,1,Mumbai,26875608
3107,4,3,Chennai,13344908
3825,1,4,Bengaluru,17192825
4851,5,4,Bengaluru,23588395
3587,4,1,Hyderabad,15527473
2451,3,1,Bengaluru,12412739
2022,2,3,Hyderabad,9480689
2452,2,1,Chennai,9441986
4067,5,3,Mumbai,29297961
3966,2,2,Bengaluru,18312438
2701,4,1,Mumbai,18586565
3948,4,1,Hyderabad,17392700
658,2,3,Chennai,4232802
4786,4,3,Vizag,18043518
3113,1,3,Mumbai,19297845
4819,5,1,Mumbai,32236167
2503,4,4,Chennai,11481363
905,2,3,Bengaluru,5898829
2842,4,1,Vizag,11138685
535,3,2,Bengaluru,4862155
3774,4,4,Chennai,16619641
1560,3,1,Mumbai,11836308
4036,1,3,Vizag,13632394
3779,3,4,Chennai,15754827
3787,2,3,Mumbai,24009678
3355,2,4,Hyderabad,14663717
1908,1,4,Vizag,7609567
2997,3,3,Hyderabad,14175458
1291,3,4,Mumbai,11891239
3257,3,1,Hyderabad,14346522
522,4,4,Mumbai,8697641
1719,5,4,Chennai,9254707
2651,3,1,Chennai,10757234
930,3,3,Mumbai,9049678
4857,3,2,Bengaluru,21910498
2819,5,3,Chennai,12582043
2259,5,1,Mumbai,17035281
4000,5,1,Vizag,14851149
3304,1,3,Mumbai,20631424
1606,2,2,Vizag,6449573
4137,1,1,Mumbai,24089631
4592,1,1,Vizag,14878277
4189,4,4,Mumbai,27328967
1795,5,1,Vizag,8338353
4856,5,1,Chennai,19625032
4189,5,2,Vizag,15365624
1011,1,3,Bengaluru,5965938
2967,4,1,Mumbai,19862195
4159,4,1,Vizag,14644740
949,4,3,Mumbai,9987147
2791,1,1,Chennai,10210046
1486,5,2,Chennai,8506742
2170,1,4,Vizag,7990433
3163,3,3,Chennai,13016027
4427,3,2,Vizag,15888827
2935,2,2,Bengaluru,13887395
1658,4,2,Mumbai,13763866
2577,3,3,Bengaluru,13812686
1082,1,4,Vizag,4970029
920,2,3,Bengaluru,6108444
2303,4,4,Bengaluru,12867903
4280,2,4,Bengaluru,19005823
4642,1,2,Bengaluru,20479837
1165,2,1,Bengaluru,6287686
3153,4,3,Chennai,13657887
3274,2,1,Chennai,12559584
1386,3,3,Chennai,7682277
4827,3,4,Chennai,18942341
1077,5,4,Bengaluru,8971914
1709,4,1,Hyderabad,8722669
2227,3,1,Vizag,8622121
4408,5,4,Vizag,16802888
3043,2,2,Vizag,10979937
799,4,4,Vizag,5298378
3677,5,2,Hyderabad,17336696
1577,4,3,Vizag,7065442
2757,5,1,Mumbai,20144457
2410,2,4,Chennai,9968204
3888,2,4,Chennai,15217573
3537,2,4,Bengaluru,16932563
3701,1,2,Mumbai,22859906
4811,3,1,Mumbai,30195170
3429,1,3,Bengaluru,15025013
1978,1,4,Chennai,8451611
2658,3,4,Vizag,10422862
1598,5,4,Vizag,8161511
1366,2,1,Bengaluru,7218767
3754,3,1,Vizag,12511284
4282,5,4,Chennai,18119049
2330,4,4,Chennai,11265994
3762,2,3,Bengaluru,17425782
4691,5,2,Bengaluru,22490338
3601,5,2,Bengaluru,17935145
1872,3,1,Mumbai,12933495
3123,3,4,Bengaluru,15341076
598,2,4,Mumbai,7198392
2261,1,1,Hyderabad,9267809
1666,1,3,Mumbai,11674298
2391,2,1,Bengaluru,10996180
2369,2,1,Chennai,9291590
3710,5,4,Chennai,16821945
4931,4,3,Mumbai,29928656
1781,5,3,Chennai,9359524
833,1,3,Chennai,4112408
3423,3,4,Chennai,14840501
982,5,1,Hyderabad,7209155
4866,4,3,Hyderabad,20130526
1839,1,3,Chennai,7509675
4437,5,4,Bengaluru,21132999
1588,3,1,Chennai,7450450
1498,3,3,Mumbai,12577075
2500,5,1,Vizag,9865959
4789,1,2,Vizag,15557975
3932,4,3,Chennai,15839621
3829,4,2,Mumbai,25509782
4585,2,1,Chennai,16378064
2496,1,4,Bengaluru,11759362
2887,1,4,Bengaluru,13330688
3247,4,2,Hyderabad,13915916
2858,2,4,Mumbai,19196713
3693,3,2,Hyderabad,15701636
2973,5,4,Vizag,12801837
3537,2,2,Chennai,13666892
2901,5,3,Hyderabad,14401121
2903,1,1,Bengaluru,11826849
771,2,2,Mumbai,7368774
2048,1,1,Hyderabad,8102869
2078,2,3,Vizag,7957279
4834,4,4,Hyderabad,21070447
4493,5,4,Chennai,18470575
4912,2,2,Mumbai,28150941
3022,2,4,Mumbai,20013797
4927,4,1,Bengaluru,22356501
612,2,4,Hyderabad,4968571
1298,1,2,Mumbai,9075744
772,3,2,Chennai,4832561
3357,3,4,Bengaluru,17121838
3150,4,2,Mumbai,21418417
1701,4,2,Vizag,7855289
1937,1,2,Chennai,7521371
4007,3,4,Bengaluru,19592793
4721,5,3,Vizag,17219461
730,2,3,Vizag,3952727
1687,3,4,Hyderabad,9256143
4333,1,3,Hyderabad,17732012
4540,4,2,Hyderabad,19735790
2707,2,1,Bengaluru,12243122
1804,1,2,Mumbai,11718059
999,3,2,Bengaluru,6367106
2345,3,3,Chennai,10113257
2883,2,1,Hyderabad,11258068
4613,3,4,Chennai,18857477
3847,2,1,Mumbai,22454964
2726,3,4,Chennai,11983232
3216,1,2,Vizag,10822737
904,1,4,Vizag,4533051
1191,1,3,Chennai,5620562
899,3,1,Bengaluru,5567125
2722,1,2,Mumbai,17428343
2560,1,4,Chennai,10087617
1810,2,1,Mumbai,11806587
4857,4,4,Mumbai,32896292
3803,5,1,Hyderabad,17323454
1008,4,2,Hyderabad,6856000
3360,2,4,Vizag,12384623
3811,2,2,Vizag,12851779
3466,4,4,Chennai,15604349
4216,2,1,Mumbai,25954133
1563,1,4,Vizag,6214345
771,1,4,Bengaluru,5021502
1692,1,4,Vizag,7080507
3100,3,2,Vizag,11470904
909,5,2,Bengaluru,7370113
1320,2,3,Vizag,5672453
1094,2,2,Chennai,5102194
1353,1,1,Bengaluru,6483970
4313,5,4,Hyderabad,19544979
1333,3,3,Hyderabad,7751610
2896,4,4,Bengaluru,15403312
3729,5,1,Bengaluru,18281848
4741,1,1,Chennai,16629775
2426,3,4,Vizag,10055692
3458,2,1,Chennai,12929108
2118,5,2,Vizag,9793819
4639,5,4,Mumbai,30789344
2041,3,4,Chennai,9712363
3406,2,2,Bengaluru,15829752
3437,4,3,Chennai,15099374
2499,1,4,Mumbai,16243004
4375,4,3,Vizag,16596886
2439,4,2,Vizag,10389312
4946,2,4,Chennai,18698085
3329,2,3,Hyderabad,15398011
3071,3,2,Bengaluru,15063174
3091,5,3,Bengaluru,16849128
2021,2,2,Hyderabad,9198815
1995,1,2,Chennai,7416106
606,5,3,Hyderabad,6035822
2627,4,3,Mumbai,19069349
2651,2,4,Vizag,10049708
756,3,2,Hyderabad,5283430
538,3,1,Mumbai,6154879
3530,3,4,Vizag,13285907
1109,2,2,Chennai,5415503
3977,5,1,Mumbai,25779254
2096,5,3,Vizag,9757976
4735,2,1,Bengaluru,18895862
4174,5,3,Chennai,17269996
2844,1,1,Hyderabad,11111123
980,5,2,Bengaluru,7682727
3829,2,4,Hyderabad,16584411
999,4,1,Chennai,6064941
3215,5,2,Vizag,12673172
3770,1,2,Hyderabad,14491314
3279,1,3,Bengaluru,14811000
1333,2,4,Chennai,7016223
3084,5,3,Hyderabad,15383344
3739,2,2,Hyderabad,15258162
664,5,1,Mumbai,8502373
1977,3,2,Bengaluru,10396002
2269,3,4,Bengaluru,12382494
2118,1,1,Mumbai,13252347
4254,5,1,Vizag,15791363
4819,2,1,Hyderabad,19352884
2210,1,1,Mumbai,13670366
4619,4,1,Bengaluru,21156043
2878,3,3,Vizag,10225596
1141,5,4,Chennai,7497704
4276,1,4,Mumbai,25390451
3016,1,4,Hyderabad,12741529
3459,4,1,Chennai,14086949
4222,2,1,Mumbai,24508857
1792,4,4,Vizag,8283399
1762,2,4,Vizag,7658994
4090,1,2,Vizag,13334509
2735,2,1,Mumbai,16681398
2362,4,3,Bengaluru,12847978
3462,3,1,Bengaluru,16025315
2865,2,3,Vizag,10687999
4937,5,3,Vizag,17571671
1803,5,3,Chennai,9836293
2537,3,4,Chennai,11588948
2125,5,3,Hyderabad,12115567
2273,3,4,Bengaluru,12611930
3153,3,3,Mumbai,21785800
1352,4,2,Hyderabad,7904438
2589,3,2,Vizag,9950921
1961,4,1,Chennai,9171480
1872,1,4,Hyderabad,9095757
1230,4,4,Mumbai,12077984
4609,4,1,Vizag,16016590
3946,1,2,Hyderabad,15657519
4614,5,3,Hyderabad,21009102
2956,4,4,Mumbai,20538415
3854,2,2,Chennai,14856636
3730,5,3,Hyderabad,17288992
2950,1,3,Bengaluru,13324536
4831,4,2,Bengaluru,22668473
4312,5,2,Hyderabad,19711721
3670,3,2,Chennai,14146163
4141,2,2,Mumbai,25583796
1922,5,4,Mumbai,16509849
4985,4,1,Chennai,20140745
3318,3,3,Hyderabad,14880335
3352,2,2,Hyderabad,14142712
2131,3,2,Hyderabad,10075296
1808,5,3,Vizag,8810708
676,2,2,Chennai,4207569
1555,1,3,Chennai,6485596
1019,2,2,Mumbai,8191293
4756,1,1,Bengaluru,20964099
4449,5,2,Mumbai,29785005
4723,1,3,Chennai,17152409
2642,5,1,Chennai,11386207
3698,5,3,Vizag,14393738
2778,3,1,Bengaluru,13436015
4084,4,1,Mumbai,26996626
976,1,3,Chennai,4906850
1942,2,2,Bengaluru,9802010
1444,1,2,Chennai,5810599
1956,4,3,Mumbai,15468883
4714,3,2,Hyderabad,20215150
3715,5,1,Bengaluru,18019531
1703,1,3,Mumbai,12048261
1966,1,2,Bengaluru,8872552
2795,1,1,Vizag,9012824
4328,4,1,Vizag,15180774
3860,5,2,Vizag,14590490
793,5,2,Mumbai,9797338
2546,5,1,Vizag,10394959
2955,4,3,Hyderabad,14131140
1406,3,3,Chennai,7592612
1891,2,2,Hyderabad,8609086
3419,4,4,Vizag,13616158
2017,1,1,Vizag,7027447
775,2,3,Mumbai,7656837
4944,4,1,Bengaluru,22333188
1326,5,4,Mumbai,12973599
2545,1,3,Hyderabad,10743538
4759,2,2,Chennai,17034563
3856,3,2,Mumbai,25710579
2588,1,3,Vizag,8900717
2174,3,3,Hyderabad,10439315
1663,4,1,Mumbai,12870269
1209,2,4,Hyderabad,7065378
1231,2,2,Bengaluru,6743246
4299,1,2,Vizag,13515368
3191,5,4,Chennai,14824037
4279,5,1,Bengaluru,20840119
4282,5,2,Vizag,16716907
2633,3,2,Vizag,9767390
621,2,4,Vizag,3864619
970,3,3,Vizag,5294640
3431,5,1,Hyderabad,15431801
1599,1,3,Hyderabad,7491710
4682,4,2,Hyderabad,19882337
645,5,3,Vizag,5128299
728,1,2,Chennai,3433096
1396,5,4,Chennai,8956749
3613,3,1,Mumbai,22237810
1444,3,1,Hyderabad,7252320
888,3,4,Mumbai,9522549
4106,5,2,Bengaluru,20086747
4123,2,4,Bengaluru,18952288
3445,2,1,Vizag,12086403
4093,5,1,Bengaluru,20427771
3500,3,2,Bengaluru,16407841
2205,5,4,Mumbai,18487364
3978,2,2,Bengaluru,18261369
2226,3,2,Chennai,9480694
2164,2,4,Hyderabad,10420351
2894,1,2,Vizag,10026388
4858,2,4,Hyderabad,19903781
3911,4,3,Hyderabad,17192579
4867,5,1,Bengaluru,22956974
4965,1,3,Mumbai,29056062
967,5,4,Bengaluru,8586310
3274,1,4,Chennai,12789440
874,1,2,Chennai,3768608
1577,3,1,Bengaluru,8503135
3055,4,4,Hyderabad,14829381
4947,2,4,Bengaluru,22247289
3524,1,2,Chennai,12155770
1466,3,1,Mumbai,10716944
4063,5,4,Vizag,15505538
4829,5,3,Hyderabad,20098101
2253,5,3,Bengaluru,13123794
3371,5,3,Chennai,15322456
4707,2,1,Bengaluru,19455904
4465,4,1,Mumbai,28536303
3677,2,3,Mumbai,23157709
4730,3,3,Bengaluru,22208841
3108,1,3,Chennai,11789839
4057,4,1,Vizag,14821005
4824,3,4,Hyderabad,20542618
3084,1,2,Hyderabad,12088621
2804,5,1,Bengaluru,14725718
2367,5,1,Vizag,10063844
4958,5,4,Chennai,20023853
1101,3,2,Vizag,5323993
2162,5,2,Mumbai,17395790
1415,4,3,Hyderabad,8550605
2249,1,2,Mumbai,13668417
4602,1,2,Vizag,15618863
4716,1,3,Bengaluru,19956155
4420,3,3,Hyderabad,18614506
4951,1,1,Mumbai,28782580
4060,1,3,Hyderabad,15836865
1399,1,3,Mumbai,10316287
2933,5,1,Mumbai,21089516
2128,5,3,Vizag,9873165
1850,3,2,Bengaluru,10017407
1469,5,2,Chennai,7665818
2554,3,4,Hyderabad,11889743
1376,2,1,Vizag,5265015
3056,4,3,Bengaluru,15424869
4258,4,1,Vizag,15248185
4371,2,2,Mumbai,26882407
2225,3,3,Mumbai,15759265
682,2,3,Vizag,3915390
4698,1,1,Vizag,15152661
2139,5,2,Bengaluru,12369380
4083,2,3,Mumbai,26887881
3433,5,3,Mumbai,25501453
1004,1,2,Hyderabad,5083724
3294,5,4,Hyderabad,16209889
1056,3,2,Vizag,5478178
1335,4,1,Chennai,7078445
4135,2,4,Chennai,16364920
3718,5,4,Vizag,14531596
3149,3,3,Bengaluru,15368970
4715,3,2,Mumbai,28329180
2806,3,4,Bengaluru,14583694
3802,3,1,Hyderabad,15790139
3250,1,3,Mumbai,20830874
2724,5,2,Bengaluru,14534340
4104,5,3,Chennai,17112423
4565,3,2,Chennai,18373355
3967,4,2,Hyderabad,17556645
4001,4,4,Mumbai,26781313
3195,3,3,Mumbai,21594711
705,4,2,Bengaluru,5910809
3190,4,2,Vizag,12512295
2182,4,1,Chennai,9684195
3795,2,3,Vizag,12801048
4110,1,2,Vizag,13581080
1976,3,1,Mumbai,14025141
1262,4,4,Vizag,7139353
4044,3,4,Vizag,14898277
1617,2,2,Vizag,6350600
4231,4,1,Vizag,14579197
1581,4,3,Chennai,8556945
1427,3,2,Mumbai,11306448
2028,2,1,Vizag,7344914
2045,2,3,Hyderabad,9631603
1286,2,1,Hyderabad,6200109
564,3,3,Hyderabad,4610780
4553,2,3,Chennai,16809024
2142,3,3,Chennai,9239060
3306,5,2,Chennai,14235984
4245,5,3,Chennai,18227212
3920,1,3,Vizag,12457686
2609,3,2,Bengaluru,13004918
3935,3,3,Mumbai,26853047
3708,2,1,Chennai,13089901
3967,5,3,Mumbai,27362159
1221,2,1,Bengaluru,6434971
4199,4,3,Mumbai,26652776
4975,3,3,Hyderabad,20995566
1506,1,3,Vizag,5830742
3944,3,1,Mumbai,24152132
3519,1,3,Vizag,12198867
4906,2,4,Mumbai,30558926
1847,4,4,Mumbai,15363969
4821,2,2,Mumbai,29030542
524,3,4,Bengaluru,5557369
3990,4,3,Chennai,16351709
3820,5,4,Hyderabad,18205382
3073,3,2,Mumbai,20550298
1439,2,4,Bengaluru,8588634
3954,1,1,Hyderabad,14578680
1203,2,1,Vizag,4761251
3039,3,2,Bengaluru,14068092
2868,4,3,Chennai,12773975
1241,3,3,Bengaluru,8007381
821,2,4,Chennai,5121060
4862,1,2,Bengaluru,19666992
1281,1,2,Bengaluru,6507522
1365,4,1,Mumbai,11400552
3363,2,3,Hyderabad,14371486
1740,1,1,Mumbai,10980154
4684,2,2,Mumbai,28401815
1651,1,1,Vizag,5759984
2450,4,1,Hyderabad,11635706
3264,5,1,Mumbai,23566814
2853,1,4,Mumbai,17903038
945,4,3,Chennai,6305813
1047,4,1,Mumbai,9361595
4888,3,1,Mumbai,29484222
4930,4,1,Mumbai,28905430
2406,1,4,Hyderabad,10715902
3525,3,3,Bengaluru,16792163
4244,4,4,Mumbai,29590181
3984,4,2,Chennai,15912579
4085,1,2,Chennai,14044186
535,4,4,Mumbai,9165119
2265,2,2,Chennai,9649657
819,5,1,Vizag,5290595
3270,5,1,Hyderabad,14867689
3202,2,3,Mumbai,20780763
4009,2,1,Chennai,14067796
1559,4,2,Chennai,7859412
4765,1,2,Hyderabad,18000414
1940,3,3,Bengaluru,10515157
2536,2,4,Mumbai,17763834
4285,2,2,Mumbai,25671119
2119,4,3,Hyderabad,10724619
1504,4,3,Mumbai,12924989
2964,3,2,Chennai,12808996
4079,2,2,Vizag,13446813
2491,4,1,Chennai,10125339
4676,3,1,Bengaluru,20343147
775,4,2,Hyderabad,5885407
4267,5,1,Hyderabad,19021203
1078,1,2,Mumbai,7825890
3551,5,4,Hyderabad,17484663
1809,2,1,Vizag,6491944
2211,1,1,Mumbai,13756483
635,1,3,Mumbai,5869609
882,4,1,Chennai,5426969
1883,4,2,Bengaluru,10337116
2365,3,3,Hyderabad,11004230
807,1,2,Chennai,3889803
2398,1,4,Hyderabad,10807967
3600,2,4,Chennai,14023062
4466,1,4,Chennai,16403629
3886,2,2,Chennai,14358135
1001,2,4,Bengaluru,6949771
2026,3,2,Chennai,9505782
1198,4,4,Vizag,6594222
3278,4,3,Chennai,13637200
3880,3,1,Bengaluru,16940537
4982,2,2,Bengaluru,23020632
3969,2,4,Mumbai,25106054
667,4,4,Bengaluru,7049685
871,4,3,Mumbai,9589278
4815,3,3,Chennai,19206918
1040,1,2,Bengaluru,5120544
2815,5,2,Bengaluru,15463589
4856,5,3,Bengaluru,23534494
2416,2,1,Vizag,8546311
3407,3,2,Chennai,12925537
3692,1,1,Bengaluru,15381648
975,5,4,Vizag,6618424
1378,2,2,Chennai,6242805
1803,4,1,Hyderabad,9361124
4750,3,1,Chennai,18079044
2119,5,4,Hyderabad,12151009
2074,2,3,Hyderabad,9633798
3878,5,1,Mumbai,26295561
2034,4,3,Mumbai,16515210
1950,2,2,Bengaluru,9472017
1511,2,4,Bengaluru,9094004
2520,5,4,Mumbai,20646643
4822,2,1,Hyderabad,19115305
862,3,1,Bengaluru,5734738
2356,3,3,Chennai,10180287
2408,2,3,Vizag,9324489
2895,5,4,Bengaluru,15280289
971,4,4,Bengaluru,7870500
4892,2,1,Vizag,16068374
4513,2,3,Vizag,15622388
4654,3,4,Vizag,17096771
961,1,3,Chennai,4809643
3536,3,2,Vizag,13033356
3320,5,1,Vizag,12693319
3172,5,2,Bengaluru,16497388
4538,2,4,Chennai,17127427
1384,3,4,Mumbai,11769833
3017,2,4,Bengaluru,15147482
3831,2,3,Vizag,13869157
2669,4,2,Vizag,10074557
2946,4,1,Chennai,12312947
2849,5,1,Chennai,12801391
4391,3,3,Chennai,16206967
1302,1,4,Hyderabad,6466350
1230,3,1,Vizag,5328640
3053,5,2,Hyderabad,14932542
2896,1,2,Mumbai,17107065
2791,1,4,Chennai,10950152
1382,5,1,Mumbai,12662155
4052,1,1,Mumbai,24014772
4721,4,2,Bengaluru,22350507
2757,1,3,Chennai,10347218
3662,4,1,Mumbai,24589790
3752,3,3,Hyderabad,16148309
1086,4,1,Hyderabad,6791725
2196,2,3,Bengaluru,10796282
2844,4,1,Hyderabad,13519710
3455,2,1,Mumbai,20641482
3154,4,2,Mumbai,21763071
927,4,3,Mumbai,10128738
2528,1,3,Chennai,9657797
1895,1,2,Bengaluru,8832939
1131,2,3,Hyderabad,6247757
3790,3,2,Mumbai,24796422
4104,5,2,Chennai,16704814
2088,5,3,Bengaluru,12478118
1718,1,1,Chennai,6628827
2940,2,2,Vizag,10307866
3605,3,3,Bengaluru,17047777
2415,1,3,Chennai,9190847
1979,4,4,Vizag,9186631
2535,2,2,Bengaluru,12017545
3941,5,1,Hyderabad,17437023
1423,3,1,Vizag,6099099
3904,2,4,Bengaluru,17470580
937,4,4,Mumbai,10882463
4909,4,1,Chennai,18913256
3963,4,3,Chennai,16052016
4923,5,3,Vizag,17866542
4819,3,3,Vizag,16264986
913,5,1,Vizag,5372360
963,5,3,Hyderabad,7308219
1180,5,2,Bengaluru,8629800
3766,5,4,Hyderabad,17984964
706,1,3,Bengaluru,4644890
3786,3,4,Mumbai,25386595
4464,3,3,Mumbai,27379671
1080,2,2,Mumbai,8756738
1981,3,4,Mumbai,15365473
3680,2,1,Vizag,12375091
3033,2,3,Chennai,12400330
2781,4,2,Hyderabad,13434493
2302,2,2,Chennai,9178020
3438,2,1,Mumbai,21250367
1696,2,1,Mumbai,11175595
3835,1,3,Bengaluru,17262578
4786,2,3,Chennai,17907847
1835,5,4,Mumbai,15819164
1179,4,2,Chennai,6506493
2698,2,3,Vizag,10088865
4214,3,4,Vizag,15711953
2064,1,1,Mumbai,12523929
1664,1,4,Vizag,6361123
2010,2,4,Vizag,8111972
1728,1,4,Hyderabad,8271901
4910,2,2,Hyderabad,19795519
3219,1,1,Hyderabad,12598107
3197,5,2,Mumbai,22789383
4094,3,4,Hyderabad,18188666
806,4,3,Mumbai,9603959
1264,3,1,Chennai,6271869
3939,2,1,Mumbai,22543316
4671,5,2,Chennai,18017450
1744,4,1,Vizag,7479337
3826,4,4,Chennai,15723068
2066,1,4,Hyderabad,9570114
4333,1,3,Bengaluru,18811628
4870,2,4,Bengaluru,21887254
1332,2,4,Mumbai,11368200
3906,2,3,Bengaluru,17345293
2604,2,2,Bengaluru,12294692
3950,2,3,Bengaluru,18063710
2674,5,4,Hyderabad,14888527
534,4,2,Mumbai,7412554
1247,1,4,Bengaluru,7222954
1520,5,2,Bengaluru,9934358
1247,5,4,Vizag,7514338
2224,4,2,Vizag,9053487
1312,5,1,Vizag,6757448
1826,2,1,Chennai,7297971
2299,5,2,Mumbai,18264951
1672,2,1,Bengaluru,8349867
2709,3,2,Vizag,9985655
3746,5,4,Bengaluru,20051093
1657,3,4,Mumbai,14238331
4542,1,3,Mumbai,26547532
2049,2,2,Hyderabad,9045959
3818,3,2,Vizag,13667529
4365,2,2,Chennai,16369679
3159,1,1,Chennai,11904172
3147,4,2,Vizag,11739260
4499,4,2,Mumbai,28886369
4327,2,4,Hyderabad,18467223
2603,2,4,Vizag,9758989
2945,2,3,Hyderabad,12284175
3634,2,2,Chennai,13678231
1600,2,3,Bengaluru,8671489
575,2,2,Bengaluru,4484628
1847,3,1,Mumbai,13358377
2082,1,3,Bengaluru,10136209
2923,5,4,Bengaluru,16930351
2496,3,1,Vizag,9290619
634,3,1,Chennai,3849366
3191,4,4,Chennai,14080506
3158,5,3,Mumbai,23308936
945,3,3,Hyderabad,6625290
3877,4,2,Bengaluru,18001920
4536,2,3,Chennai,16664964
3612,1,2,Mumbai,21436356
874,1,2,Hyderabad,4650806
1242,4,3,Chennai,7460355
3229,2,3,Vizag,11128686
3275,1,4,Vizag,11860859
4946,5,2,Chennai,20064845
1580,3,4,Bengaluru,9386083
4039,3,3,Bengaluru,19383811
3348,5,3,Mumbai,23724424
2264,2,1,Vizag,8188621
1165,2,2,Vizag,5062859
4210,3,3,Mumbai,27335611
4788,1,1,Bengaluru,20160883
1818,2,2,Mumbai,12291496
1050,1,1,Bengaluru,4837379
4244,3,1,Hyderabad,17920110
1881,1,3,Bengaluru,9238992
1447,5,4,Hyderabad,9883436
3440,1,2,Vizag,11745893
2826,4,4,Hyderabad,14421727
506,1,4,Mumbai,5679900
839,1,2,Vizag,3543467
2948,5,3,Hyderabad,14533126
3955,3,2,Chennai,16104759
626,3,4,Mumbai,8294255
3074,5,4,Vizag,13364186
942,5,1,Chennai,6245277
3934,2,4,Bengaluru,19219391
2074,3,2,Bengaluru,11158785
3633,2,4,Hyderabad,14782200
683,1,4,Mumbai,6996186
3084,1,2,Chennai,11130387
940,2,2,Vizag,4414959
1010,1,2,Chennai,4958115
1712,1,2,Chennai,7004327
4322,3,2,Chennai,15721282
3025,1,2,Bengaluru,12906799
4870,2,2,Vizag,16818697
2259,3,3,Bengaluru,12115494
3612,4,2,Mumbai,23468214
1415,2,3,Bengaluru,8053205
4426,2,3,Mumbai,28392725
4588,5,2,Bengaluru,22186462
4632,3,2,Vizag,16443647
4895,3,1,Vizag,16810129
3933,1,1,Vizag,12562848
4270,1,1,Mumbai,23004082
977,1,1,Chennai,4110495
1679,4,1,Mumbai,13467543
4456,3,2,Hyderabad,18879021
1357,5,1,Bengaluru,9081593
2356,3,3,Chennai,9904255
2743,1,1,Hyderabad,10918444
2020,3,4,Bengaluru,11262188
2669,3,4,Bengaluru,14123955
2053,4,3,Chennai,10034947
1784,4,4,Chennai,9542660
613,4,4,Vizag,5082610
4299,3,4,Mumbai,27698600
1989,1,2,Bengaluru,8796010
567,4,4,Mumbai,9121027
4823,3,2,Hyderabad,20189112
4267,5,1,Chennai,17040658
1691,2,2,Vizag,6689839
2191,1,1,Hyderabad,8720007
2217,3,4,Hyderabad,10794177
1516,2,1,Mumbai,10553367
4263,4,4,Mumbai,28072853
1342,3,1,Vizag,5806540
4692,5,3,Bengaluru,22166950
